path,classification,reason,evidence,status
docs/paper/v6.docx,paper_baseline,Formal V6 baseline while V6.1 remains under author-confirmed construction.,docs/paper/PAPER_AUTHORITY.json,protected_no_move
docs/paper/v6_1.docx,paper_working,In-progress V6.1; never archive or hash-freeze during active editing.,docs/paper/revisions/V6_1_CONFIRMATION_LOG_20260814.md,protected_no_move
docs/paper/v6 - 副本.docx,candidate_source_not_current,Selective revision source; never promote wholesale without author review.,docs/paper/PAPER_AUTHORITY.json,protected_no_move
docs/paper/supplementary_information.docx,formal_supplementary_baseline,Stable supplementary baseline pending author-confirmed V6.1 integration.,docs/paper/PAPER_AUTHORITY.json,protected_no_move
docs/paper/supplementary_information - 副本.docx,candidate_source_not_current,Selective Methods/Supplementary revision source; contains unresolved submission blockers and must not replace the baseline wholesale.,docs/paper/PAPER_AUTHORITY.json,protected_no_move
docs/paper/CORE_SCIENTIFIC_LOGIC_CONTRACT.md,active_or_full_dag,"Current paper contract, runtime, dataset, checkpoint, figure asset, or full pre-submission DAG lineage.",Project AGENTS.md plus current paper authority and source manifests.,protected_no_move
docs/paper/RESULTS_EVIDENCE_BOUNDARIES.md,active_or_full_dag,"Current paper contract, runtime, dataset, checkpoint, figure asset, or full pre-submission DAG lineage.",Project AGENTS.md plus current paper authority and source manifests.,protected_no_move
docs/paper/results_state_transition_program,active_or_full_dag,"Current paper contract, runtime, dataset, checkpoint, figure asset, or full pre-submission DAG lineage.",Project AGENTS.md plus current paper authority and source manifests.,protected_no_move
docs/paper/revisions,active_or_full_dag,"Current paper contract, runtime, dataset, checkpoint, figure asset, or full pre-submission DAG lineage.",Project AGENTS.md plus current paper authority and source manifests.,protected_no_move
docs/paper/submission_packages/communications_biology_20260801_final_six_results_candidate,active_or_full_dag,"Current paper contract, runtime, dataset, checkpoint, figure asset, or full pre-submission DAG lineage.",Project AGENTS.md plus current paper authority and source manifests.,protected_no_move
src,active_or_full_dag,"Current paper contract, runtime, dataset, checkpoint, figure asset, or full pre-submission DAG lineage.",Project AGENTS.md plus current paper authority and source manifests.,protected_no_move
tests,active_or_full_dag,"Current paper contract, runtime, dataset, checkpoint, figure asset, or full pre-submission DAG lineage.",Project AGENTS.md plus current paper authority and source manifests.,protected_no_move
scripts,active_or_full_dag,"Current paper contract, runtime, dataset, checkpoint, figure asset, or full pre-submission DAG lineage.",Project AGENTS.md plus current paper authority and source manifests.,protected_no_move
src/plotting/paper_fig/assets,active_or_full_dag,"Current paper contract, runtime, dataset, checkpoint, figure asset, or full pre-submission DAG lineage.",Project AGENTS.md plus current paper authority and source manifests.,protected_no_move
results/multi_snn,active_or_full_dag,"Current paper contract, runtime, dataset, checkpoint, figure asset, or full pre-submission DAG lineage.",Project AGENTS.md plus current paper authority and source manifests.,protected_no_move
results/multi_seed_rollout,active_or_full_dag,"Current paper contract, runtime, dataset, checkpoint, figure asset, or full pre-submission DAG lineage.",Project AGENTS.md plus current paper authority and source manifests.,protected_no_move
results/paper_figure_redesign_20260811,current_evidence_bundle,Current manuscript Fig.1 mechanism artwork and Fig.2 relabelled inherited-state artwork.,docs/paper/PAPER_AUTHORITY.json,protected_no_move
results/paper_figure_multi_seed/final_six_figures,current_evidence_bundle,Pinned parent data used by the current Fig.2 redesign bundle.,docs/paper/PAPER_AUTHORITY.json,protected_no_move
results/paper_figure_multi_seed/final_six_figures_v5_fig3g_fig4_2x2_fixed_20260810,current_evidence_bundle,"Current manuscript Fig.3-Fig.7 data, statistics, artwork, and source manifests; internal bundle fig2-fig6 map to manuscript Fig.3-Fig.7.",docs/paper/PAPER_AUTHORITY.json,protected_no_move
results/paper_figure_multi_seed/supplementary_v5_c5_revised_20260804_r2,current_evidence_bundle,"Current Supplementary Fig. S1-S6 data, statistics, and artwork.",docs/paper/PAPER_AUTHORITY.json,protected_no_move
results/paper_figure_multi_seed/supplementary_v5_s7_complete_pairs_20260812_r1,current_evidence_bundle,Current complete-paired-row Supplementary Fig. S7 correction.,docs/paper/PAPER_AUTHORITY.json,protected_no_move
results/causal_closure_multi_seed_20260803,current_direct_parent,At least one current source or artifact manifest points into this root.,Current main/supplementary source-manifest closure.,protected_no_move
results/multi_seed_rollout/fig1_time_binned_firing,current_direct_parent,At least one current source or artifact manifest points into this root.,Current main/supplementary source-manifest closure.,protected_no_move
results/multi_seed_rollout/fig2,current_direct_parent,At least one current source or artifact manifest points into this root.,Current main/supplementary source-manifest closure.,protected_no_move
results/paper_figure_multi_seed/fig1_functional_stsp_substrate,current_direct_parent,At least one current source or artifact manifest points into this root.,Current main/supplementary source-manifest closure.,protected_no_move
results/paper_figure_multi_seed/fig2_fixed_b_mechanism_confirmatory,current_direct_parent,At least one current source or artifact manifest points into this root.,Current main/supplementary source-manifest closure.,protected_no_move
results/paper_figure_multi_seed/fig2_pair_fused_stsp_state,current_direct_parent,At least one current source or artifact manifest points into this root.,Current main/supplementary source-manifest closure.,protected_no_move
results/paper_figure_multi_seed/fig3_multiitem_peak_landscape,current_direct_parent,At least one current source or artifact manifest points into this root.,Current main/supplementary source-manifest closure.,protected_no_move
results/paper_figure_multi_seed/fig4_accumulated_history_statistics,current_direct_parent,At least one current source or artifact manifest points into this root.,Current main/supplementary source-manifest closure.,protected_no_move
results/paper_figure_multi_seed/fig4_overlap_reentry,current_direct_parent,At least one current source or artifact manifest points into this root.,Current main/supplementary source-manifest closure.,protected_no_move
results/paper_figure_multi_seed/fig5_local_support_competition,current_direct_parent,At least one current source or artifact manifest points into this root.,Current main/supplementary source-manifest closure.,protected_no_move
results/paper_figure_multi_seed/fig6_peak_amplified_reentry,current_direct_parent,At least one current source or artifact manifest points into this root.,Current main/supplementary source-manifest closure.,protected_no_move
results/paper_figure_multi_seed/new_results_reanalysis,current_direct_parent,At least one current source or artifact manifest points into this root.,Current main/supplementary source-manifest closure.,protected_no_move
results/paper_figure_multi_seed/supplementary_v5,current_direct_parent,At least one current source or artifact manifest points into this root.,Current main/supplementary source-manifest closure.,protected_no_move
