record_id,canonical_id,node_family,node_type,execution_role,task_id,runtime_figure_id,manuscript_figure_id,code_entry,schema_source,dependencies,edge_semantics,expected_outputs,evidence_paths,artifact_seed_dirs,authority_tier,provenance_link,conclusion_status,result_statements,task_conclusion_zh,limitations,source_audit
task-001,fig1.trial_specs,fig1,DAG Task,producer,trial_specs,fig1,Fig.2（经 redesign；内部 fig1）,src/experiments/paper_figures/fig1/run_task.py --task trial_specs,src/experiments/paper_figures/fig1/schemas.py,[],[],"[""基线、延迟解码与 DMS 条件的试验规格""]","[""results/multi_seed_rollout/fig1/fig1_functional_stsp_substrate/seed_*/data/intermediates/trial_specs/""]",20,exploratory,direct,operational-only,"[""20/20 seed artifact 目录存在，并按任务合同记录 manifest/cache key 或 digest。""]",trial_specs 的基线、延迟解码与 DMS 条件的试验规格已在 20/20 个 seed 持久化并可按任务身份寻址；任务结论仅为该父工件/规格可供下游复用，不附加跨任务科学推断。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-002,fig1.baseline,fig1,DAG Task,metric/analysis,baseline,fig1,Fig.2（经 redesign；内部 fig1）,src/experiments/paper_figures/fig1/run_task.py --task baseline,src/experiments/paper_figures/fig1/schemas.py,"[""fig1.trial_specs""]","[""requires""]","[""网络基线准确率评估""]","[""results/paper_figure_multi_seed/fig1_functional_stsp_substrate/fig1_functional_stsp_substrate/seed_*/data/""]",0,active-parent,inferred,bounded,"[""final-six fig1 panel b 从 20 个网络的 baseline metrics 物化；描述均值为 90.945%。""]",baseline 任务的 20 网络基线指标被 final-six 直接消费，描述均值为 90.945%；该结论只说明被测网络在固定基线协议下的表现。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-003,fig1.delay_feature_bank,fig1,DAG Task,metric/analysis,delay_feature_bank,fig1,Fig.2（经 redesign；内部 fig1）,src/experiments/paper_figures/fig1/run_task.py --task delay_feature_bank,src/experiments/paper_figures/fig1/schemas.py,"[""fig1.trial_specs""]","[""requires""]","[""跨延迟的 STSP u/x 特征库""]",[],0,exploratory,none,unavailable,"[""本快照未找到按 fig1.delay_feature_bank 身份可归属且满足当前合同的结果产物。""]",delay_feature_bank 已在当前源码注册为跨延迟的 STSP u/x 特征库，但本快照未找到可直接归属且满足合同的结果文件，因此该任务目前不可形成可验证结果结论。,20-seed runtime 根没有独立 artifact 目录；delay decoder 的历史 bundle 不能替代该父工件身份。,parent-direct:code+results+manifests
task-004,fig1.delay_decoder,fig1,DAG Task,metric/analysis,delay_decoder,fig1,Fig.2（经 redesign；内部 fig1）,src/experiments/paper_figures/fig1/run_task.py --task delay_decoder,src/experiments/paper_figures/fig1/schemas.py,"[""fig1.trial_specs"",""fig1.delay_feature_bank""]","[""requires"",""requires""]","[""由延迟期 STSP 特征解码类别""]","[""results/paper_figure_multi_seed/fig1_functional_stsp_substrate/fig1_functional_stsp_substrate/seed_*/data/""]",0,active-parent,inferred,bounded,"[""final-six fig1 panel d 的延迟解码行均为 descriptive_only；20 网络源文件齐全。""]",delay_decoder 的 20 网络输出被 final-six 作为 descriptive_only 延迟期 u/x 解码证据使用；结论限于固定延迟与解码协议，不外推为持续放电。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-005,fig1.dms_boundary_bank,fig1,DAG Task,producer,dms_boundary_bank,fig1,Fig.2（经 redesign；内部 fig1）,src/experiments/paper_figures/fig1/run_task.py --task dms_boundary_bank,src/experiments/paper_figures/fig1/schemas.py,"[""fig1.trial_specs""]","[""requires""]","[""DMS 延迟边界的全层状态快照库""]","[""results/multi_seed_rollout/fig1/fig1_functional_stsp_substrate/seed_*/data/intermediates/dms_boundary_bank/""]",20,exploratory,direct,operational-only,"[""20/20 seed artifact 目录存在，并按任务合同记录 manifest/cache key 或 digest。""]",dms_boundary_bank 的DMS 延迟边界的全层状态快照库已在 20/20 个 seed 持久化并可按任务身份寻址；任务结论仅为该父工件/规格可供下游复用，不附加跨任务科学推断。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-006,fig1.dms_shuffle_readout,fig1,DAG Task,metric/analysis,dms_shuffle_readout,fig1,Fig.2（经 redesign；内部 fig1）,src/experiments/paper_figures/fig1/run_task.py --task dms_shuffle_readout,src/experiments/paper_figures/fig1/schemas.py,"[""fig1.trial_specs"",""fig1.dms_boundary_bank""]","[""requires"",""requires""]","[""DMS u/x 交换与 shuffle 条件读出""]","[""results/paper_figure_multi_seed/fig1_functional_stsp_substrate/fig1_functional_stsp_substrate/seed_*/data/""]",0,active-parent,inferred,bounded,"[""在 20-seed 历史/活动 parent bundle 中找到与DMS u/x 交换与 shuffle 条件读出对应的输出。""]",dms_shuffle_readout 的 20 网络试验级输出被 final-six panel e 使用，支持在既定交换条件下区分 u/x 组成贡献；这里只保留任务级描述，不作跨任务归因。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-007,fig1.dms_delay_sweep_readout,fig1,DAG Task,metric/analysis,dms_delay_sweep_readout,fig1,Fig.2（经 redesign；内部 fig1）,src/experiments/paper_figures/fig1/run_task.py --task dms_delay_sweep_readout,src/experiments/paper_figures/fig1/schemas.py,"[""fig1.trial_specs"",""fig1.dms_boundary_bank""]","[""requires"",""requires""]","[""DMS 功能效应的延迟扫描""]","[""results/paper_figure_multi_seed/fig1_functional_stsp_substrate/fig1_functional_stsp_substrate/seed_*/data/""]",0,active-parent,inferred,bounded,"[""在 20-seed 历史/活动 parent bundle 中找到与DMS 功能效应的延迟扫描对应的输出。""]",dms_delay_sweep_readout 的DMS 功能效应的延迟扫描输出在可追踪 bundle 中存在；当前任务级结论限于该输出已生成且可定位，不把它升级为跨任务或稿件级综合结论。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-008,fig1.firing_rate_control,fig1,DAG Task,metric/analysis,firing_rate_control,fig1,Fig.2（经 redesign；内部 fig1）,src/experiments/paper_figures/fig1/run_task.py --task firing_rate_control,src/experiments/paper_figures/fig1/schemas.py,"[""fig1.trial_specs"",""fig1.dms_boundary_bank""]","[""requires"",""requires""]","[""阶段级放电率控制""]","[""results/paper_figure_multi_seed/fig1_functional_stsp_substrate/fig1_functional_stsp_substrate/seed_*/data/""]",0,active-parent,inferred,bounded,"[""在 20-seed 历史/活动 parent bundle 中找到与阶段级放电率控制对应的输出。""]",firing_rate_control 的阶段级放电率控制输出在可追踪 bundle 中存在；当前任务级结论限于该输出已生成且可定位，不把它升级为跨任务或稿件级综合结论。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-009,fig1.time_binned_firing_rate_control,fig1,DAG Task,metric/analysis,time_binned_firing_rate_control,fig1,Fig.2（经 redesign；内部 fig1）,src/experiments/paper_figures/fig1/run_task.py --task time_binned_firing_rate_control,src/experiments/paper_figures/fig1/schemas.py,"[""fig1.trial_specs""]","[""requires""]","[""时间分箱放电率控制""]","[""results/paper_figure_multi_seed/fig1_functional_stsp_substrate/fig1_functional_stsp_substrate/seed_*/data/"",""results/multi_seed_rollout/fig1_time_binned_firing/seed_*/data/metrics/supp_time_binned_firing_rates.csv""]",0,active-parent,direct,bounded,"[""main source manifest 直接列出 20 个 supp_time_binned_firing_rates.csv，当前均存在。""]",time_binned_firing_rate_control 的时间分箱放电率控制输出在可追踪 bundle 中存在；当前任务级结论限于该输出已生成且可定位，不把它升级为跨任务或稿件级综合结论。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
task-010,fig2.all,fig2,DAG Task,aggregate,all,fig2,Fig.3,src/experiments/paper_figures/fig2/run_task.py --task all,src/experiments/paper_figures/fig2/schemas.py,"[""fig2.state_bank"",""fig2.crossfit_interaction"",""fig2.crossfit_null_calibration"",""fig2.morphology"",""fig2.linear_mixture"",""fig2.neutral_ping"",""fig2.partial_cue"",""fig2.ping_sweep"",""fig2.completion_delay_sweep"",""fig2.supplement""]","[""orchestrates"",""orchestrates"",""orchestrates"",""orchestrates"",""orchestrates"",""orchestrates"",""orchestrates"",""orchestrates"",""orchestrates"",""orchestrates""]","[""pair-state 主链的全任务聚合入口""]","[""results/paper_figure_multi_seed/fig2_pair_fused_stsp_state/fig2_pair_fused_stsp_state/seed_*/data/""]",0,exploratory,inferred,operational-only,"[""该入口在源码中编排 10 个直接子依赖；自身无独立 artifact digest。""]",all 只作为pair-state 主链的全任务聚合入口调度子任务；当前证据仅支持其操作性覆盖，不产生独立科学结论。,未执行重放；数值与参数边界以对应 run_config、manifest 和 ledger evidence path 为准。,parent-direct:code+results+manifests
