map_id,claim_family,main_section,main_docx_paragraph,main_sentence,main_sentence_anchor,main_figure_panels,supp_docx_paragraph,supp_sentence,supp_sentence_anchor,supp_figure_panels,relation_type,mapping_status,allowed_inference,critical_boundary,source_bundle,source_data,statistics_file
MSM-S1-AB,C0,Results,P23,S3,"Dynamic–static differences weakened with delay","Fig. 2d","P9","S1|S2|S3","Static-frozen minus dynamic-intact probe accuracy across delays|Dynamic-intact minus static-frozen sample-label prediction rate","S1a|S1b","temporal/condition boundary","supported_bounded","Retained-state influence has a tested delay and dynamic-versus-static boundary","S1a-b are not cross-trial shuffle panels and do not establish overall accuracy benefit","supplementary_v5_c5_revised_20260804_r2","data/source_data/s1_a.csv|data/source_data/s1_b.csv","metrics/panel_statistics.csv|metrics/primary_tests.csv"
MSM-S1-CD,C0,Results,P23,"S2|S4","donor-item predictions rose|establishing functional inheritance rather than mere decodability","Fig. 2d","P9","S4|S5","Trial-paired donor flux|Donor excess calibration","S1c|S1d","paired mechanism control + donor-opportunity null","supported_bounded","Donor shift reflects paired substitution and exceeds unequal donor-label opportunity","Error-pool composition is not overall accuracy benefit or substrate uniqueness","supplementary_v5_c5_revised_20260804_r2","data/source_data/s1_c.csv|data/source_data/s1_d.csv|data/source_data/s1_d_calibration.csv","metrics/panel_statistics.csv|metrics/primary_tests.csv"
MSM-S2-A,"C3|C4",Results,P37,S2,"exchanged only the Layer 1 u/x state between histories","Fig. 4f",P13,S1,"the same encoded B was presented after Layer 1 u/x exchange only","S2a","intervention-identity gate","supported_bounded","Layer-1 inherited STSP is isolated under the tested receiver and fast-state controls","Does not establish necessity complete mediation or uniqueness","supplementary_v5_c5_revised_20260804_r2","data/source_data/s2_a.csv","metrics/panel_statistics.csv"
MSM-S2-BD,"C3|C4",Results,P37,"S3|S4|S5","The Layer 2 successor shifted strongly toward the donor history|Early Layer 3 transfer and metric and cohort sensitivities|sufficient to redirect successor formation under an identical current input","Fig. 4f",P13,"S2|S3|S4","Donor-transfer index for the Layer 2 update and the early Layer 3 successor|Robustness margins above null|Untouched-cohort sensitivity","S2b|S2c|S2d","direct endpoint + metric/cohort robustness","supported_bounded","Layer-1 inherited STSP is sufficient to redirect L2 update with early-L3 consequence under tested controls","Early-L3 transfer is not a universal behavioral endpoint; no necessity or full mediation","supplementary_v5_c5_revised_20260804_r2","data/source_data/s2_b.csv|data/source_data/s2_c.csv|data/source_data/s2_d.csv","metrics/panel_statistics.csv|metrics/primary_tests.csv"
MSM-S3-AC,"C2|C3",Results,P36,"S3|S4","Attenuation and reset reduced early-spike advancement and recruitment|These effects were robust to window, winner-rank and distance definitions","Fig. 4c,d",P17,"S1|S2|S3","Transition gain as a function of the early-window size|top one, two and three ranked candidates|distance caps of ≤2, ≤4 and ≤6 units","S3a|S3b|S3c","window/selection/spatial robustness","supported_bounded","Early transition and local competition are robust across tested definitions","Outcome-conditioned winner analysis is not prospective prediction","supplementary_v5_c5_revised_20260804_r2","data/source_data/s3_a.csv|data/source_data/s3_b.csv|data/source_data/s3_c.csv","metrics/panel_statistics.csv|metrics/primary_tests.csv"
MSM-S3-D,"C2|C3",Results,P36,S4,"the interventions chiefly delayed rather than eliminated original winners","Fig. 4c,d",P17,"S4|S5","Fate of the original winner after targeted overlap-aligned attenuation or reset|redistributed among preserved, delayed and lost outcomes","S3d","fate decomposition","supported_bounded","Intervention changes original-winner fate with delayed as the dominant outcome","Must not describe attenuation or reset as mainly causing winner loss","supplementary_v5_c5_revised_20260804_r2","data/source_data/s3_d.csv","metrics/panel_statistics.csv"
MSM-S4-AB,"C5|C6",Results,P43,S2,"the transplant shifted both the early Layer 2 response toward the donor history|and the post-C Layer 3 successor","Fig. 5a,b",P21,"S1|S2|S3","early Layer 2 event map at history depths K = 1 and K = 5|post-C Layer 3 successor|All four endpoints were positive in every network","S4a|S4b","direct causal-sufficiency replication","supported_bounded","Post-B L2 successor is sufficient to condition identical-C processing and next successor under tested conditions","Does not establish necessity complete mediation uniqueness or every-stage closure","supplementary_v5_c5_revised_20260804_r2","data/source_data/s4_a.csv|data/source_data/s4_b.csv","metrics/panel_statistics.csv|metrics/primary_tests.csv"
MSM-S4-CD,"C5|C6",Results,P43,"S1|S3|S4","transplanted the post-B Layer 2 u/x state between matched histories|Exact identity checks and exclusion of the development seed preserved these effects|sufficient to condition both the next input and the state formed from it","Fig. 5a,b",P21,"S4|S5","Untouched-cohort sensitivity|passed exact donor-receiver identity checks","S4c|S4d","cohort sensitivity + identity gate","supported_bounded","C5 result survives development-seed exclusion and exact identity audit","Paired cells are not independent networks","supplementary_v5_c5_revised_20260804_r2","data/source_data/s4_c.csv|data/source_data/s4_d.csv","metrics/panel_statistics.csv|metrics/primary_tests.csv"
MSM-S5-AD,C6,Results,P44,"S3|S4|S6","Input-associated displacement exceeded passive evolution at every tested boundary|The excess remained positive at each network’s weakest stage and involved both u and x|input-driven STSP updating recurred as interference accumulated","Fig. 5c",P25,"S1|S2|S3","Network × stage heatmap|Minimum observed-minus-passive displacement|utilization variable u and the available-resource variable x","S5a|S5b|S5c|S5d","breadth/worst-case/variable robustness","supported_bounded","Recurrence is broad across networks stages and both STSP variables","Breadth does not prove successor reuse or exact-input intervention at every stage","supplementary_v5_c5_revised_20260804_r2","data/source_data/s5_a.csv|data/source_data/s5_b.csv|data/source_data/s5_c.csv|data/source_data/s5_d.csv","metrics/panel_statistics.csv|metrics/primary_tests.csv"
MSM-S6-AB,C7,Results,P51,S2,"effective component number increased from 2.994|latest-item weight fell from 0.331","Fig. 6c,d",P29,"S1|S2","Effective component number (Neff) by sequence length under the raw NNLS coefficients|Latest-item weight","S6a|S6b","measurement-definition sensitivity","supported_bounded","Multi-component and non-latest-dominated description survives tested weight definitions","N_eff is not capacity accessible-item count or behavioral utility","supplementary_v5_c5_revised_20260804_r2","data/source_data/s6_a.csv|data/source_data/s6_b.csv","metrics/panel_statistics.csv|metrics/primary_tests.csv"
MSM-S6-CF,C7,Results,P51,"S3|S4|S5","matched STSP morphology remained more similar to the terminal state than sequence-deranged composites|Normalized-coefficient and coefficient-free analyses preserved this distributed, locally organized and history-specific pattern|accumulated histories remained distributed without losing their spatial organization","Fig. 6e,f",P29,"S3|S4|S5|S6","Mean no-memory-corrected effective-support change, Δg|Rook-Moran excess|Matched-minus-sequence-deranged centered-cosine similarity|Minimum matched-minus-sequence-deranged centered-cosine similarity","S6c|S6d|S6e|S6f","amplitude/topology/configuration boundary","supported_bounded","Layer-1 coefficient-free morphology retains amplitude topology and matched-over-deranged specificity","S6c is mean Δg not entropy area; morphology is parallel to rather than causal precursor of Fig.7 function","supplementary_v5_c5_revised_20260804_r2","data/source_data/s6_c.csv|data/source_data/s6_d.csv|data/source_data/s6_e.csv|data/source_data/s6_f.csv","metrics/panel_statistics.csv|metrics/primary_tests.csv"
